title,info
"
ソードアート・オンライン (SAO)
",2022年、世界初のVRMMORPG《ソードアート・オンライン（SAO）》の正式サービスが開始され、約1万人のユーザーは完全なる仮想空間を謳歌していた。しかし、ゲームマスター（GM）にして開...
"
TARI TARI
",白浜坂高校の声楽部に所属する宮本来夏は、ピアノ担当の上野みどりの譜面捲りを担当していた。前々から歌を歌いたいと希望していた来夏の思いを察したみどりは、顧問である教頭先生に一度言ってみたらと来...
"
人類は衰退しました
",現在の人類が衰退して数世紀が経った世界で、調停官となった旧人類の少女と、現人類の「妖精さん」との交流を描いた物語。
"
じょしらく
",このアニメは女の子の可愛さをお楽しみ頂くため邪魔にならない程度の差し障りのない会話をお楽しみいただくアニメです。つまんねー事聞くなよ!
"
ココロコネクト
",私立山星高校に通う桐山唯と青木義文は、ある日の夜中に一時的に、互いの魂が入れ替わる現象を体験する。2人は、文化研究部の八重樫太一、永瀬伊織、稲葉姫子に相談するが、冗談話と思われ、ちゃかされて...
"
織田信奈の野望
",現代の日本に暮らす男子高校生・相良良晴はある日突然、戦国時代の濃尾平野に飛ばされてしまう。その世界では今川義元や松平元康、柴田勝家といった戦国武将たちが美少女の姿で存在しており、その上、尾張...
"
貧乏神が!
",異常な幸運で世間のエナジーバランスを乱す桜市子のいる人間界へ、彼女を普通の人間にするために貧乏神界から貧乏神・紅葉が遣わされたことによって騒動が巻き起こされる。
"
おおかみこどもの雨と雪
","物語は、娘の雪が、母である花の半生を語るかたちで綴られる。
東京のはずれにある国立大学に通う、女子大生の花は、大学の教室でとある男と出会い、恋に落ちる。その男は自分がニホンオオカミの末裔、..."
"
ゆるゆり♪♪
",七森中の「ごらく部」に所属する女子中学生4人と、それを取り巻く生徒会の女の子たち。彼女たちの時に笑いあり、時に百合ありのまったりとした日常生活を描く。
"
夏雪ランデブー
","花屋でアルバイトをしている青年・葉月は店長の六花に恋心を抱いていたが、彼女は後家であり、三年前に病死した夫・篤がいた。
幽霊ながら葉月の恋路を邪魔し、妨害行為を繰り返す篤との三角関係が始ま..."
"
恋と選挙とチョコレート
",生徒数6000人を越えるメガ学園「私立高藤学園」に通う大島裕樹は、幼馴染の住吉千里とともに食品研究部（ショッケン）の部員だが、大した活動もせず堕落した日々を過ごしていた。そんな時、次期生徒会...
"
トータル・イクリプス
",『マブラヴ オルタネイティヴ』本編が開始される2001年10月22日、物語はその約11か月前から始まる。アラスカの国連軍ユーコン基地で進められている先進戦術機技術開発計画（プロミネンス計画）...
"
この中に1人、妹がいる!
",本作のストーリーは世界的大企業社長の息子で後継者候補である主人公帝野将悟と、将悟が後継者修行の一環として転入した私立深流院学園のクラスメートらヒロイン達との間で展開していく。父の遺言により深...
"
カンピオーネ! ～まつろわぬ神々と神殺しの魔王～
","この世界には神殺しと呼ばれるものがいる。神話に抗い地上に災厄をもたらす神、まつろわぬ神を殺し、その力を奪った者たち。彼らは『カンピオーネ』と呼ばれ、魔術師の王として君臨し神々や同類と戦う。..."
"
超訳百人一首 うた恋い。
",百人一首の主に恋愛歌を題材にしたコメディ・タッチのストーリー短編漫画集。平安時代の歌の世界を、流行語や外来語を交えた可笑しみのある現代訳で、詠み人を主人公に想いや交流を描いている。
"
うぽって!!
",新任の現国教師が赴任した青錆学園は、銃器の女子が通う学校だった。さらに、教師達も現国教師を除く全ての教師が銃器である。
"
だから僕は、Hができない。
",桃園学園の高校生加賀良介は、ある雨の日、自宅前に佇む少女リサラ・レストール（王家を守る女家の筆頭）と出会い、ずぶ濡れだった彼女を自宅に招く。「特異者」と呼ばれる人間を探しにきたという死神のリ...
"
境界線上のホライゾンII
",人類が天上から戻った時代。唯一人類が地球上で生活可能な土地を舞台に、改めて人類が天上へ戻ることを目的として過去の歴史を再現する世界。極東と呼ばれる国の独立領土「武蔵」にある学院の生徒たちを取...
"
はぐれ勇者の鬼畜美学
",異世界に飛ばされた青年が魔王を倒し、元の世界へと帰還した所から始まる物語。現実世界から異世界に飛ばされ、そこでの話が舞台になるのではなく、異世界で役割を終えた後日談を描いているのが特徴である...
"
アルカナ・ファミリア
",レガーロ島でフェリチータが「アルカナ・ファミリア〈神秘の家族〉」の一員となって3か月が経ったある日、父のモンドは「アルカナ・デュエロの優勝者にボスの座を渡し、俺の娘のフェリチータと結婚しても...
"
DOG DAYS'
",外交手段としての戦争が死傷者の出ないスポーツ的な興業として行われている異世界を主要な舞台として、異世界のお姫様によって2011年の現代から勇者として召喚された少年を主人公として描くファンタジ...
"
もやしもん リターンズ
",種麹屋の次男坊である沢木 惣右衛門 直保（さわき そうえもん ただやす）は、菌やウィルスを視認し会話ができるという不思議な能力を持っていた。直保は幼馴染の結城とともに、祖父の友人である樹慶蔵...
"
コードギアス 亡国のアキト
",皇歴2017年、日本が神聖ブリタニア帝国に占領されてから7年が経過した。日本がブリタニアの植民地「エリア11」としてブリタニアからの圧政を受ける日々を送る中、時を同じくしてE.U.（ユーロピ...
"
ちとせげっちゅ!!
","11歳の元気爆発少女・桜庭ちとせは、学校の隣の村役場に勤めるお兄さんに激ラブ中。暇さえあれば、周囲の迷惑かえりみず、役場に突進してはお兄さんに飛びつく毎日。
そんなちとせと親友たち、担任教..."
"
探検ドリランド
",ハンターと呼ばれる探検家がいる世界、ドリランド。エルア国の姫様であるミコトはハンターになることに憧れ、城を抜け出して探検を始める。そして世話役のウォーレンスに、旅の途中で出会った狩人ポロンと...
