title,info
"
Re:CREATORS(レクリエイターズ)
","自室でアニメ “精霊機想曲フォーゲルシュバリエ” を観ていた水篠颯太の目の前に、画面の向こうに映っていたはずのアニメのキャラクター、セレジア・ユピティリアと、軍服を纏った謎の少女が現れる。
..."
"
進撃の巨人 Season2
",女型の巨人との戦闘の後、壁の中から発見された巨人。その正体を聞き出そうと、ハンジはニック司祭を激しく責め立てるが、ニックは脅しに屈することなく黙秘を貫くのだった。遡ること12時間前、ウォール...
"
エロマンガ先生
",高校生でありながらライトノベル作家である主人公は、部屋に引きこもる妹が自分の著書のイラストレーターであることを知る。 兄が部屋に籠る妹を外に連れ出そうとするホームドラマの側面と、作家・イラス...
"
サクラクエスト
",就職活動が全滅状態だった女子大生の木春由乃は、以前仕事を受けた事務所からの依頼で寂れた田舎町「間野山」の観光協会に出向し、ミニ独立国「チュパカブラ王国」の国王（観光大使）として1年間働くこと...
"
正解するカド KADO:The Right Answer
","全ては、想像を絶するファーストコンタクトから始まった。突如出現した謎の存在「カド」。
異常事態に翻弄される日本政府。そして世界の行方は、ひとりの交渉官（ネゴシエーター）に委ねられる——。 "
"
僕のヒーローアカデミア 第2期
",USJ襲撃事件騒動のあととあって、警備上の問題で開催が懸念されたが、テレビ放映もされる雄英高校の一大イベント雄英体育祭が行われる。出久はオールマイトから、次世代の正義を背負って立つヒーローが...
"
スタミュ-高校星歌劇-(第2期)
","晴れてミュージカル学科生となった星谷たち。
学年も上がり、これまでライバルだった他チームのメンバーとはクラスメイトに。
さっそく親睦を深めようとする星谷だが、
team楪のリーダー・揚羽を始..."
"
BLAME!
",果てしなく巨大な階層都市の中を、探索者の霧亥（キリイ）は何千フロアも放浪する。求めるものは「感染前」の「ネット端末遺伝子」。手にするものは全てを貫通する最強の銃「重力子放射線射出装置」。
"
月がきれい
",川越の中学校を舞台とした思春期真っ盛りの中学生達による恋愛物語。
"
夜は短し歩けよ乙女
",後輩である少女に恋をしている「私」は、彼女という城の外堀を埋めるべく日々彼女を追い掛け、なるべくその目に留まろうとしている。しかしその彼女はなかなか「私」の想いに気づいてくれない。2人は奇妙...
