title,info
"
ワールドトリガー 2ndシーズン
",未知なる力を持つ「近界民（ネイバー）」の襲撃に対抗すべく設立された界境防衛機関“ボーダー”。その末端に所属する三雲修は、偶然知り合った「近界民」空閑遊真と幼馴染である雨取千佳と共に三雲隊を結...
"
無職転生～異世界行ったら本気だす～
","ただ部屋に引きこもってゲームやネットに明け暮れるだけの34歳のニート男が、
ある日交通事故に遭い死亡…したと思った次の瞬間、
剣と魔法の異世界に生まれたばかりの赤ん坊として転生!
少年ルーデ..."
"
SK∞ エスケーエイト
","「そのとき俺は確かに見たんだ。この沖縄に舞う、白い雪を─…」
スケートボードが大好きな高校二年生・暦レキがハマっているもの――
……それは""Ｓ""。
「Ｓエス」とは、閉鎖された鉱山をスケートボ..."
"
Dr.STONE STONE WARS
",人類が謎の現象により石化して数千年――。文明が滅びた石の世界（ストーンワールド）で一人目覚めた千空は、超人的な頭脳と科学の力で、ゼロから文明を作り出していく。そんな中、武力で科学を制圧しよう...
"
BEASTARS(第2期)
","「俺、もっと強くなるよ。この社会にも、本能にも負けないために」
肉食獣である自分自身を受け入れ、ハルとの恋に向かって一歩踏み出したレゴシ。しかし、平穏な学園生活を取り戻したかに思えたレゴシに..."
"
ホリミヤ
","堀 京子は、美人で成績も良く学校ではクラスの中心的存在。
だけど実は共働きの両親に代わり、寄り道もせず
家事や年の離れた弟の面倒に勤しむ家庭的な高校生。
ある日、ケガをした弟 創太を見知らぬ..."
"
ゆるキャン△ SEASON2
","これも、ある冬の日の物語。

山梨の女子高校生である志摩リンは、愛車の原付に乗って一路浜名湖を目指していた。
大晦日に始めた、久しぶりのソロキャンプ。山梨を出発して静岡県は磐田へ。
年越しを..."
"
怪物事変
","古来よりこの世の影に潜み、人に見つからぬよう、
人と関わり合って生きる怪物（けもの）という存在。

彼らの多くは人間の世界に適応し、社会に交じり生活していた。
しかし現代では、人と必要以上に..."
"
ウマ娘 プリティーダービー Season 2
",シンボリルドルフに憧れて無敗の三冠を目指すトウカイテイオーは、次走の日本ダービーを目前に日本中の注目を集めていた。そして迎えた本番、入場規制が敷かれるほど盛り上がる中、トウカイテイオーは一番...
"
約束のネバーランド(第2期)
","ハウスからの脱獄に成功し、ノーマンが残してくれたペンが示した目的地へ向かうエマたち。しかし、その道中で巨大な野良鬼に遭遇してしまう。
レイは野良鬼を自分に引き付け罠にかける為、エマ達とは別行..."
