title,info
"<h2><span class=""rank"">1</span>
<a href=""../ind/3699.php"" title=""ぼっち・ざ・ろっく!の情報を見る"">ぼっち・ざ・ろっく!</a>
</h2>","<p class=""exp"">“ぼっちちゃん”こと後藤ひとりは会話の頭に必ず「あっ」って付けてしまう極度の人見知りで陰キャな少女。そんな自分でも輝けそうなバンド活動に憧れギターを始めるも友達がいないため、一人で毎日6時間...</p>"
"<h2><span class=""rank"">2</span>
<a href=""../ind/3719.php"" title=""THE FIRST SLAM DUNKの情報を見る"">THE FIRST SLAM DUNK</a>
</h2>","<p class=""exp"">IH第2回戦・山王工業高校との試合、および読み切り作品『ピアス』の設定を取り入れた宮城リョータの過去が描かれる。</p>"
"<h2><span class=""rank"">3</span>
<a href=""../ind/3717.php"" title=""すずめの戸締まりの情報を見る"">すずめの戸締まり</a>
</h2>","<p class=""exp"">九州の静かな町で暮らす17歳の少女・鈴芽（すずめ）は、
「扉を探してるんだ」という旅の青年・草太に出会う。
彼の後を追って迷い込んだ山中の廃墟で見つけたのは、
ぽつんとたたずむ古ぼけた扉。
...</p>"
"<h2><span class=""rank"">4</span>
<a href=""../ind/3706.php"" title=""チェンソーマンの情報を見る"">チェンソーマン</a>
</h2>","<p class=""exp"">『チェンソーの悪魔』ポチタと共にデビルハンターとして暮らす少年デンジ。

親が遺した借金返済のため、貧乏な生活を送る中、

裏切りに遭い殺されてしまう。薄れる意識の中、デンジはポチタと契約し...</p>"
"<h2><span class=""rank"">5</span>
<a href=""../ind/3671.php"" title=""機動戦士ガンダム 水星の魔女の情報を見る"">機動戦士ガンダム 水星の魔女</a>
</h2>","<p class=""exp"">A.S.122――
数多の企業が宇宙へ進出し、巨大な経済圏を構築する時代。

モビルスーツ産業最大手「ベネリットグループ」が運営する
「アスティカシア高等専門学園」に、
辺境の地・水星から一...</p>"
"<h2><span class=""rank"">6</span>
<a href=""../ind/3703.php"" title=""BLEACH 千年血戦篇の情報を見る"">BLEACH 千年血戦篇</a>
</h2>","<p class=""exp"">現世で虚が次々と消滅しているのが観測され、尸魂界・技術開発局は騒然となる。その頃空座町では、新任の担当死神・行木竜ノ介と斑目志乃が、到着早々に虚と遭遇。突然の襲撃になす術もない二人の窮地を助...</p>"
"<h2><span class=""rank"">7</span>
<a href=""../ind/3700.php"" title=""ブルーロックの情報を見る"">ブルーロック</a>
</h2>","<p class=""exp"">全国高校サッカー選手権の県大会決勝。高校2年生のフォワード・潔 世一は、ゴール前で味方にパスを出してしまったことによって全国大会への道を絶たれてしまう。そんな彼のもとに“ブルーロック（青い監...</p>"
"<h2><span class=""rank"">8</span>
<a href=""../ind/3691.php"" title=""アキバ冥途戦争の情報を見る"">アキバ冥途戦争</a>
</h2>","<p class=""exp"">“カワイイ”メイドを夢見てメイドカフェ「とんとことん」へやってきた、和平なごみ 17歳。
一緒に入店した新人メイドは、万年嵐子 35歳。
はじめてのメイドカフェに少し戸惑いながらも、なごみは...</p>"
"<h2><span class=""rank"">9</span>
<a href=""../ind/3720.php"" title=""かがみの孤城の情報を見る"">かがみの孤城</a>
</h2>","<p class=""exp"">同級生から受けた仕打ちが原因で不登校が続き、子供育成支援教室にも通えずに部屋に引き籠る生活を続けていた主人公の中学一年生の女の子・こころが、5月のある日、自室の鏡が光り、その向こうに、城で自...</p>"
"<h2><span class=""rank"">10</span>
<a href=""../ind/3663.php"" title=""僕のヒーローアカデミア(第6期)の情報を見る"">僕のヒーローアカデミア(第6期)</a>
</h2>","<p class=""exp"">デクは爆豪、轟と共にNo.1ヒーローであるエンデヴァーの事務所へインターン活動に臨む。最高峰の現場に身を投じたデクはワン・フォー・オールに眠る新たな“個性”黒鞭を操るなど、ヒーローとして確か...</p>"
"<h2><span class=""rank"">11</span>
<a href=""../ind/3709.php"" title=""うる星やつら(2022)の情報を見る"">うる星やつら(2022)</a>
</h2>","<p class=""exp"">軟派な高校生・諸星あたるは、地球侵略に来た鬼族の娘・ラムと地球の命運をかけて鬼ごっこをする役目に選ばれる。幼なじみの三宅しのぶに「勝ったら結婚してあげる」と言われて奮起し、ラムを追いかける。</p>"
"<h2><span class=""rank"">12</span>
<a href=""../ind/3677.php"" title=""ゴールデンカムイ(第四期)の情報を見る"">ゴールデンカムイ(第四期)</a>
</h2>","<p class=""exp"">樺太で再会を果たした杉元とアシㇼパ。キロランケの死や尾形の逃亡を経て相棒の契約を更新した二人は、他の先遣隊メンバーや白石と共に国境を越えてロシア領を後にする。北海道への帰還を目指してさらに移...</p>"
"<h2><span class=""rank"">13</span>
<a href=""../ind/3680.php"" title=""ヤマノススメ Next Summitの情報を見る"">ヤマノススメ Next Summit</a>
</h2>","<p class=""exp"">あおいとひなた、ふたりで始めた山登りは、
標高197mの天覧山、599mの高尾山、1786mの三つ峠山と
徐々に標高を上げていく。
ふたりの思い出の山である谷川岳にも登頂し、
関東の名峰を周...</p>"
